1960	1	1	0.12705523
1960	1	2	0.11876902
1960	1	3	0.11876902
1960	1	4	0.11048281
1960	1	5	0.11048281
1960	1	6	0.11876902
1960	1	7	0.12705523
1960	1	8	0.24306218
1960	1	9	0.65461065
1960	1	10	0.55241405
1960	1	11	0.65737272
1960	1	12	0.93910389
1960	1	13	0.42812089
1960	1	14	0.33421050
1960	1	15	0.29277945
1960	1	16	0.24582425
1960	1	17	0.22372769
1960	1	18	0.21267941
1960	1	19	0.20163113
1960	1	20	0.20163113
1960	1	21	0.21267941
1960	1	22	0.34802085
1960	1	23	0.45574159
1960	1	24	0.42812089
1960	1	25	1.67657665
1960	1	26	4.28120890
1960	1	27	2.26765968
1960	1	28	1.36446271
1960	1	29	0.96120045
1960	1	30	0.78442795
1960	1	31	0.69051756
1960	2	1	1.09101775
1960	2	2	3.97738117
1960	2	3	1.96659402
1960	2	4	1.53847313
1960	2	5	1.48875587
1960	2	6	1.63790766
1960	2	7	3.48020853
1960	2	8	49.16485061
1960	2	9	17.62200825
1960	2	10	9.39103888
1960	2	11	5.88320965
1960	2	12	4.17072609
1960	2	13	3.31448431
1960	2	14	2.74825991
1960	2	15	2.38919077
1960	2	16	2.08536305
1960	2	17	1.87544571
1960	2	18	1.85058707
1960	2	19	1.75115254
1960	2	20	1.56056970
1960	2	21	1.44180068
1960	2	22	1.35065236
1960	2	23	1.28160060
1960	2	24	1.19321435
1960	2	25	1.17111779
1960	2	26	1.12692467
1960	2	27	1.08273154
1960	2	28	1.01644186
1960	2	29	0.99710736
1960	3	1	0.95567631
1960	3	2	0.95567631
1960	3	3	0.91148319
1960	3	4	0.97501080
1960	3	5	2.04116992
1960	3	6	4.39169171
1960	3	7	15.85428329
1960	3	8	12.98173022
1960	3	9	6.73945143
1960	3	10	4.77838155
1960	3	11	3.89451906
1960	3	12	4.55741593
1960	3	13	7.56807251
1960	3	14	5.35841630
1960	3	15	4.25358820
1960	3	16	3.64593274
1960	3	17	3.28686361
1960	3	18	3.45258782
1960	3	19	3.45258782
